Produto,MAPE,MAE,MSE,RMSE,Desvio_Preco,Range_Preco,PC1,PC2,cluster_id,Cluster_Label
Arroz,14.368177349687953,3.7188038850153218,22.15722580946675,4.707146248999148,5.198127731940545,43.24,2.040851632247822,0.07501277368180768,0,Baixa variação de preço (MAPE baixo)
Açúcar,20.94336336540083,0.9565174461157684,1.520972293342587,1.2332770545755674,0.8715745867865327,19.22,-0.9967375392024656,-0.14361600679313324,1,Média variação de preço
Banana Nanica,40.03657106062678,2.0054833793640134,6.584932124899525,2.566112258826477,1.8571245367475129,12.040000000000001,-1.672692951925554,1.6723069946844233,2,Alta variação de preço (MAPE alto)
Banana Prata,17.976849185229433,1.7120766493331556,5.315812350639333,2.3056045520945982,2.417916290317361,17.0,-0.5188140456555788,-0.36865765812782064,1,Média variação de preço
Batata,49.92732363861437,2.53101428487618,9.776315943049163,3.1267100829864547,2.7380698330829563,30.41,-0.6181607995324938,3.1361006067455186,2,Alta variação de preço (MAPE alto)
Café,23.860442420635813,5.233297840173429,43.89150092908069,6.62506610752532,7.441534947408135,42.1,2.4300782371515752,1.1681184592097857,0,Baixa variação de preço (MAPE baixo)
Carne Acem,8.476005548002865,3.3249154990059986,15.610045363790661,3.9509549938958632,5.258041905051145,27.360000000000003,1.3211723294477271,-0.8621605559832157,0,Baixa variação de preço (MAPE baixo)
Carne Acém,7.470644275425746,3.267173767089844,20.997359403572162,4.582287573207531,4.859952712107809,28.5,1.2855849997195228,-0.9675647732607381,0,Baixa variação de preço (MAPE baixo)
Carne Bovina Acem,11.932945730318625,5.1531034660339365,50.56900198292311,7.111188507058656,5.4939975313480875,23.090000000000003,1.0456848722495353,-0.5953900009523736,0,Baixa variação de preço (MAPE baixo)
Carne Bovina Coxão Mole,12.713988314308128,6.225,46.577229701659,6.824751255661924,5.59833936803171,18.0,0.7611726096291255,-0.6234887798875894,0,Baixa variação de preço (MAPE baixo)
Carne Coxão Mole,12.907933472238215,5.408023981894216,42.57925479852034,6.525278139552393,7.254398719773969,45.089999999999996,2.8784053061667247,0.13050315487201153,0,Baixa variação de preço (MAPE baixo)
Carne Pernil,23.022876617097214,4.432056350708009,27.8234464326618,5.274793496684188,5.424343401062867,24.17,0.7436188043876358,0.5270851258682907,0,Baixa variação de preço (MAPE baixo)
Carne Suína Pernil,23.451830675126462,4.325493240356446,24.089908786451012,4.908147184676822,5.946210787322691,20.090000000000003,0.6676779826528587,0.5189191597972858,0,Baixa variação de preço (MAPE baixo)
Farinha,28.73362711139468,1.6223637465488763,4.044379074468814,2.011064164682175,1.303426937278674,11.5,-1.5404870520653235,0.49239232816633627,1,Média variação de preço
Farinha de Trigo,23.998238453070165,1.6694945033391317,3.7514241483123905,1.9368593517115253,1.3116903941635178,7.0,-1.6529278192730235,-0.07896209520301448,1,Média variação de preço
Feijão,22.823901094092406,1.8501640909019557,4.9437223619532995,2.2234483043132123,1.6261085216275417,12.56,-1.1894854220891093,-0.047021553912564636,1,Média variação de preço
Frango Peito,21.655481177581766,4.797543759346008,31.7277503749426,5.63273915381696,5.465331643457499,27.88,1.014576195707984,0.4772091908114541,0,Baixa variação de preço (MAPE baixo)
Frango Sobrecoxa,20.917575883111997,2.8204723431987144,13.1276263990237,3.6232066459179086,3.6471851083050137,18.0,-0.14169402419171723,0.04169304381093751,1,Média variação de preço
Leite,18.322851554778058,1.0236769393949368,1.725864392262971,1.313721580953503,0.8988843219964828,8.01,-1.557154483799103,-0.6531918898525726,1,Média variação de preço
Macarrão,19.94805808903804,0.9509797741237441,1.4019998376586942,1.184060740696479,1.1895353041664807,7.1,-1.5631189493117317,-0.4892803407439263,1,Média variação de preço
Macarrão com Ovos,19.555179966076995,0.8900397385491264,1.2817600525803339,1.1321484233881765,1.1956770020162988,7.899999999999999,-1.5025717836869494,-0.50999976799405,1,Média variação de preço
Manteiga,14.93385694811202,2.0856134906971655,10.03436765675802,3.1677070029846544,3.0499460400962404,38.75,1.0470863027684914,-0.13571880004489287,0,Baixa variação de preço (MAPE baixo)
Ovo,14.670830072044794,1.5835384616851804,4.555706423616067,2.1344100879671806,3.7329007598422437,33.91,1.0020563906016762,-0.21727405481099515,0,Baixa variação de preço (MAPE baixo)
Pão,7.602086138630268,1.1669994008893796,2.7332024131591814,1.6532399744620203,1.7672672645966505,22.6,-0.09136255574803702,-1.3262933743421932,1,Média variação de preço
Pão Francês,7.803592061147474,1.5071615791320796,3.418143103877919,1.8488220855122643,1.5293370906242,5.089999999999998,-1.1924922588913218,-1.7165770832719138,1,Média variação de preço
Tomate,33.20148421177323,2.4349799856867813,8.487841355218562,2.913390010832494,2.736822639626164,15.04,-0.9950367953435331,1.1274006214474714,2,Alta variação de preço (MAPE alto)
Óleo,16.823275057537252,1.2447387573411388,2.476318071430069,1.5736321270964408,1.373914892803614,13.999999999999998,-1.0052291820147379,-0.6315447239143284,1,Média variação de preço
